,Publication Category,Publication Year,PMID,DOI,Authors,Title,Journal,Short Citation
2897,Journal Article,2018,,10.1139/cjfr-2018-0303,"Catherine I Cullingham, Jasmine K Janes, Richard C. Hamelin, Patrick M.A. James, Brent W Murray, Felix A.H. Sperling",The contribution of genetics and genomics to understanding the ecology of the mountain pine beetle system,Canadian Journal of Forest Research-Revue Canadienne De Recherche Forestiere,
2898,Journal Article,2018,,10.1364/BOE.9.005353,"Morgan Heisler, Myeong Jin Ju, Mahadev Bhalla, Nathan Schuck, Arman Athwal, Eduardo V. Navajas, Mirza Faisal Beg, and Marinko V. Sarunic",Automated identification of cone photoreceptors in adaptive optics optical coherence tomography images using transfer learning,Biomedical Optics Express,
2899,Journal Article,2018,,10.1515/helia-2017-0032,"Bartelme, E., A.W. Bowsher, L.A. Donovan","Helianthus porteri, a granite outcrop endemic, does not have more drought resistant traits than congeners",Helia,Helia 41:23-43
2900,Journal Article,2011,,ISBN 978-0-9780943-5-5,Gurney-Smith HJ; Thomson C; Sanderson D; Johnson SC,Developing genomics resources and tools for the health assessment of marine mussels (the Myt-OME projects).,a - other journal,"Can Aq R&D Rev. 2011;16:43,84. ISBN: 978-0-9780943-5-5"
2901,Journal Article,2004,,ISSN 0379-5292,O’Leary SJ; Joseph C; von Aderkas P,Origin of arabinogalactan proteins in the pollination drop of Taxus x media.,Austrian Journal of Forest Science,Aust J For Sci. 2004;121(1):35-46.
2902,Journal Article,2011,,ISSN 0735-6161 (Print),Lewis K; Thompson D,Degradation of Wood in Standing Lodgepole Pine Killed by Mountain Pine Beetle,a - other journal,Wood and Fiber Science. 2011 May;43(2):130-42.
2903,Journal Article,2009,,ISSN 0840-5417,Campbell B; Koop BF,Pilot study of sablefish genomics.,a - other journal,Bulletin of the Aquaculture Association of Canada. 2009;107(3):53-60.
2904,Journal Article,2008,,ISSN 1151-0285,Trought MCT; Dixon R; Mills T; Greven M; Agnew R; Mauk JL; Praat JP,"The impact of differences in soil texture within a vineyard on vine vigour, vine earliness and juice composition.",a - other journal,Int J Vin Wine. 2008;42(2):67-72. ISSN: 1151-0285.
2905,Journal Article,2014,,ISSN 11817534,Feze IN; Prystajecky N; Cook C; Kirby E; Knoppers BM; Ozdemir V; Dunn G; Isaac-Renton J; Joly Y,The regulation of water quality assessment biotechnologies: Is Canada ready to surf the next wave?,Journal of Environmental Law and Practice,Journal of Environmental Law and Practice 2014 09;26(3):201-247
2906,Journal Article,2012,,ISSN 1824 - 2049,Navid EL; Einsiedel EF,Synthetic biology in the Science Café: what have we learned about public engagement?,,J Sci Commun. 2012 Nov;11(4):1-9.
2907,Journal Article,2013,,ISSN 18323669,Ryan CD; Doerksen K,Apathy and Online Activism: An Impetus for Science and Science Communication in Universities,,Int J Tech Knowl Soc. 2013;9(2):81-94.
2908,Journal Article,2012,,ISSN 1946-7664,Anderson JA; Armstrong GW; Luckert MK; Adamowicz WL,Optimal zoning of forested land considering the contribution of exotic plantations,Mathematical and Computational Forestry and Natural Resource Sciences,"MCFNS Mar. 28, 2012 Vol. 4, Issue 2, pp. 92"
2909,Journal Article,2009,,ISSN: 0030-6185,"Andrews, K ., J. deBeer",Accounting of Profits to Remedy Biotechnology Patent Infringement,Osgoode Hall Law Journal,
2910,Journal Article,2006,,,Ansermino JM; Carleton BC,"Guest editorial--Primum non nocere (First, do no harm): How do we improve patient safety?",British Columbia Medical Journal,BC Med J. 2006 Sep; 48(7):324.25.
2911,Journal Article,2006,,,Carleton BC; Smith MA,Drug safety: Side effects and mistakes or adverse reactions and deadly errors?,British Columbia Medical Journal,BC Med J. 2006 Sep; 48(7):329-33.
2912,Journal Article,2010,,,Goulding R; Marden E; Manion R; Levy E,Alternative Intellectual Property for Genomics and the Activity of Technology Transfer Offices: Emerging Directions in Research,Boston University Journal of Science and Technology Law,BU J Sci Tech L. 2010;16:194.
2913,Journal Article,2010,,,Levy E; Marden E; Warren B; Hartell D; Filaté I,Patent Pools and Genomics: Navigating a Course to Open Science?,Boston University Journal of Science and Technology Law,BU J Sci Tech L. 2010;16:75-103.
2914,Journal Article,2008,,,Longstaff H; Secko D,Media influence on biobank deliberations.,Canadian Journal of Public Deliberation,Journal of Health & Mass Communication. 2010;2(1-4):73-95.
2915,Journal Article,2006,,,Whiteside M.D; Brinkman FSL,Ortholuge: For more precise high-throughput ortholog identification.,Canadian Bioinformatics Help Desk Newsletter Archive,Canadian Bioinformatics Help Desk Newsletter. 2006 Nov; (61).
2916,Journal Article,2010,,,Danielson PA; Ahmad R; Longstaff H; Ormandy E,Social networking as a tool for computer-mediated ethics.,Ethics and Information Technology,"Ethics and Information Technology, Special Issue on Ethics of Social Networking."
2917,Journal Article,2006,,,Carleton BC; Stenton S,Effectiveness of drug surveillance programs in identifying adverse outcomes in children.,Expert Review of Pharmacoeconomics & Outcomes Research,Exp Rev Pharmacoecon Outcomes Res. 2006.
2918,Journal Article,2006,,,Chassigneux C; Trudel P; Knoppers BM,The Legal Framing of Computerized Processing of Health Data: A European and Canadian Perspective,Human Genetics Editorial Online,GenEdit. 2006;4(1):1-8.
2919,Journal Article,2005,,,Lacroix M; Godard B; Knoppers BM,Warning Patients’ Relatives of Genetic Risks: Policy Approaches,Human Genetics Editorial Online,GenEdit. 2005;3(3):1-8.
2920,Journal Article,2006,,,Patenaude AF; Sénécal K; Avard D,Whither Pediatric Research and Predisposition Genetic Testing?,Human Genetics Editorial Online,GenEdit. 2006;4(2):1-9.
2921,Journal Article,2008,,,Bouchard R,Reflections on the Value of Systems Models for Regulation of Medical Research and Product Development,Health Law Review,Health Law Rev. 2008;17(1):30-45.
2922,Journal Article,2007,,,Dusyk N,The Political and Moral Economies of Science: A Case Study of Genomics in Canada and the United Kingdom,Health Law Review,Health Law Rev. 2007;15(3):3.
2923,Journal Article,2008,,,Farris L; Grosjean JA,Mapping the Boundaries of Bioinformatics.,Health Law Review,Health Law Rev. 2008; 16(4)-16-8.
2924,Journal Article,2008,,,Longstaff H; Burgess M,Evaluating recruitment strategies for biobank deliberation,Health Law Review,"Health Law Rev. 2008;16(4),12-5."
2925,Journal Article,2008,,,MacLean S; Burgess M,Biobanks: Informing the public through expert and statekholder presentations.,Health Law Review,Health Law Rev. 2008;16(4):6-8.
2926,Journal Article,2008,,,O'Doherty K; Burgess M,Defining deliberative outputs in a public engagement about biobanks.,Health Law Review,Health Law Rev. 2008;16(4):3-5.
2927,Journal Article,2008,,,Wilcox ES,A Lego model to help inform participants at the British Columbia Biobank Deliberation.,Health Law Review,Health Law Rev. 2008;16(4):9-11.
2928,Journal Article,2009,,,McManus B,Trends in genomic biomarkers.,Heart and Metabolism,Heart and Metabolism 2009 Aug ;43:19-21
2929,Journal Article,2010,,,Burgess MM; Tansey J,Complexity of public interest in ethical analysis of genomics: Ethical reflections on salmon genomics/aquaculture.,Integrated Assessment Journal,Integrated Assessment. 2006;6(2):37-57.
2930,Journal Article,2006,,,Ahmad R; Bailey J; Bornik Z; Danielson P; Dowlatabadi H; Levy E; Longstaff H,A Webbased Instrument to Model Social Norms: NERD Design and Results.,Integrated Assessment Journal,Integrated Assessment. 2006;6(2):9-36.
2931,Journal Article,2006,,,Marden E; Longstaf H; Levy E,The Policy Context and Public Consultation: A Consideration of Transgenic Salmon.,Integrated Assessment Journal,Integrated Assessment. 2006;6(2):73-97.
2932,Journal Article,2006,,,Bergman A; Cohen-Freue G; Balshaw R; Smith D; Ohlund L; Hollander Z; Ng R; McManus B; Keown P; McMaster R,Statistical validation study of iTRAQ applied to human plasma.,Molecular & Cellular Proteomics,Mol Cell Proteomics. 2006 Oct;5(10):S88.
2933,Journal Article,2011,,,Madadi P; Enato EFO; Babatunde EO,Perceptions of health care professionals towards pharmacogenomics in Nigeria: Preliminary Results.,a - other journal,W African J Pharm. 2011;22(1):97 –101.
2934,Journal Article,2010,,,Joly Y; Ramos-Paque E,Approval of New Pharmacogenomic Tests: Is the Canadian Regulatory Process Adequate?,a - other journal,Can J Law Tech. 2010 8(2) 215-241
2935,Journal Article,2009,,,Barhdadi A; Feroz Zada Y; Dube MP,Paper 240-2009 Beyond SAS/GENETICS TM,a - other journal,SAS Global Forum. 2009.
2936,Journal Article,2010,,,Messmer A; Sanderson D; Nelson JN; Koop BF,"Characterization of 13 microsatellite loci from Sablefish, Anoplopoma fimbria (Pallas).",a - other journal,Mol Ecol Rs. 2010. 11(1):219-22.
2937,Journal Article,2011,,,Stanley R; McManus B; Ng R; Gombocz E; Eshleman J; Rockey C,Case Study: Applied Semantic Knowledgebase for Detection of Patients at Risk of Organ Failure through Immune Rejection,a - other journal,W3C. 2011 Mar;p1-6
2938,Journal Article,2009,,,Petrie PR; Trought MCT; Howell GS; Buchan GD; Palmer JW,Whole-vine gas exchange and light interception of Vertically Trained Vitis vinifera L. under direct and diffuse light,American Journal of Enology and Viticulture,Am J Enol Vitic. 2009 Jun;60(2):173-182. ISSN: 0002-9254.
2939,Journal Article,2009,,,Bocking S,Salmon Aquaculture: Prospects for Effective Science in an Environmental Controversy.,a - other journal,Aquaculture Canada OM 2009. 15:14-9.
2940,Journal Article,2013,,,Hall J; Linton J; Downey R; Matos S; Bachor V,The Innovation Continuum: Moving Promising Technologies off the Shelf,,GC Policy Brief. 2013 Sep;7:1-12.
2941,Journal Article,2012,,,Marden E; Godfrey RN,Intellectual Property and Sharing Regimes in Agricultural Genomics: Finding the Right Balance for Innovation,,Drake J Agri L. 2012 Ju;17(2):369-93.
2942,Journal Article,2011,,,MacKenzie MK; O'Doherty K,Deliberating Future Issues: Minipublics and Salmon Genomics.,,J Publ Delib. 2011;7(1):Article 5.
2943,Journal Article,2010,,,Palma C; Bull GQ; Goodison A; Northway S,Scenario Analysis: The Traditional and Emerging Canadian Forest Industry.,,Working Paper 2011:1 (GE3LS)
2944,Journal Article,2007,,,Longstaff H,An Evaluation of GE3LS Public Engagement Activities.,,Health Law Rev. 2007;15(3):6-8.
2945,Journal Article,2007,,,Secko DM,Learning to Swim with Salmon: Pilot Evaluation of Journalism as a Method to Create Information for Public Engagement.,,Health Law Rev. 2007;15(3):32-5.
2946,Journal Article,2008,,,Longstaff H; Burgess MM,Evaluating recruitment strategies for biobank talk.,,Health Law Rev. 2008;16(4):12-5.
2947,Journal Article,2008,,,Marden E; Power C; Hartell D; Levy E; Warren B,Genomics and intellectual property: considering alternatives to traditional patenting.,,Health Law Rev. 2008;17(1):12-20.
2948,Journal Article,2009,,,Avard D; Bucci LM; Burgess MM; Kaye J; Heeney C; Farmer Y; Cambon-Thomsen A,Public Health Genomics (PHG) and public participation: points to consider.,,J Pub Delib. 2009;5(1):1-21.
2949,Journal Article,2010,,,Howlett M; Mignone A,Comparative Networks and Clusters in the Wine Industry,American Association of Wine Economists,
2950,Journal Article,2012,,,Hira A; Bwenge A,The Wine Industry in British Columbia: Issues and Potential,American Association of Wine Economists,
2951,Journal Article,2014,,,Hall J; Bachor V; Matos S,Technology Legitimization and Intellectual Property Management: Capturing Profits or Promising Technology Left on the Shelf?,California Management Review,California Management Review 56 (3): 1
2952,Journal Article,2014,,,Hall J; Matos S; Bachor V; Downey R.,IP Management for Situations Inadequately Served by Contemporary IP Management Models,Research-Technology Management,
2953,Journal Article,2012,,,"Wolbring G, Leopatra V, Noga J",The sentiment of waste and the measure of footprints evaluated through an ableism lens,Eubios Journal of Asian and International Bioethics,Eubios Journal of Asian and International Bioethics 22 (3):117-122 (2012)
2954,Journal Article,2017,,,"Therrien-Laperriere S, Cherkaoui S, Boucher G, The iGenoMed Consortium, Jourdan F, Lettre G, Rioux JD, and Des Rosiers C",PathQuant: A bioinformatic tool to quantitatively annotate the relationship between genes and metabolites through metabolic pathway mapping,Faseb Journal,April 2017 The FASEB Journal vol. 31 no. 1 Supplement 769.3
2955,Journal Article,2017,,,"Liu KYP, Lu XJD, Chen YS, Klieb H, Ng S, McNeil K, Karsan A, Poh CF.",An actionable test using loss of heterozygosity in identifying high-risk oral premalignant lesions.,"Oral Surgery, Oral Medicine, Oral Pathology, Oral Radiology",
2956,Journal Article,2009,,,Walmsley H,Mad scientists bend the frame of biobank governance in British Columbia.,Journal of Public Deliberation,Journal of Public Deliberation. 2009;5(1):6.
2957,Journal Article,2004,,,Li B,OSCAR and Bioinformatics.,Linux Journal,Linux Journal. 2004 Nov;(127):52-60.
2958,Journal Article,2010,,,Marden E,Open Source Drug Development: A Path to More Accessible Drugs and Diagnostics?,Minnesota Journal of Law Science & Technology,Minn JL Sci Tech. 2010;11(1):217-266.
2959,Journal Article,2007,,,Samuel J; Avard D; Knoppers BM,Statement of Principles for Genetic Research Involving Children.,Reseau De Medecine Genetique Appliquee-Network of Applied Genetic Medicine,"Network of Applied Genetic Medicine (RMGA), 2007 Sep; 1-20."
2960,Journal Article,2007,,,Power C; Levy E,MORGEN & Data Release Policies: An Overview.,Alberta Health Law Review,Health Law Rev. 2007 Mar;15(3):9-11.
2961,Journal Article,2007,,,Vargas AM; Vélez MD; de Andrés MT; Laucou V; Lacombe T; Boursiquot J-M; Borrego J; Ibáñez J,Corinto bianco: A Seedless Mutant of Pedro Ximenes.,American Journal of Enology and Viticulture,Am J Enol Vitic. 2007 Dec;58(4):540-543.
2962,Journal Article,2006,,,Tansey J; Burgess M,"Democracy, Ethics and Genomics: Introduction to a special issue.",Integrated Assessment Journal,Integrated Assessment. 2006.6(2):1-8.
2963,Journal Article,2018,,,"V. Chen, C. Shannon, Z. Hollander, R. Balshaw, S.J. Tebbutt, B. McManus, R. Ng, D.D. Sin","Monitoring COPD Disease Activity for Personalized, Preventative Treatment",American Journal of Respiratory and Critical Care Medicine,
2964,Journal Article,2018,,,"W. Chen, D.D. Sin, M. Fitzgerald, A. Safari, M. Sadatsafavi",Individualized Prediction of Lung Function Decline in the General Adult Population,American Journal of Respiratory and Critical Care Medicine,
2965,Journal Article,2018,,,"M. Obeidat, A. Dvorkin-Gheva, X. Li, Y. Boss",Smoking Gene Expression Signature of Mice and Human Lung Tissues and Its Overlap with COPD Signature,American Journal of Respiratory and Critical Care Medicine,
2966,Journal Article,2018,,,"K. Roveran Genga, H. Kong, D. Wishart, C. Borchers, L. Brunham, P. Cullis, K.R. Walley, J.H. Boyd, J.A. Russell","Proteomic, Metabolomic and Lipidomic Deficiencies in Human Sepsis Compared to Health - Preliminary Study",American Journal of Respiratory and Critical Care Medicine,
2967,Journal Article,2013,,,"Edward S. Dove, Lee Black, Denise Avard & Bartha M. Knoppers",Charting the Privacy Landscape in Canadian Paediatric Biobanks,Health Law Journal,"Health Law Journal; Edmonton Vol. 20, (2013): 1-46."
2968,Book Chapter or Contribution to a Collective Work,2003,15338614,,McKay SJ; Johnsen RC; Khattra J; Asano J; Baillie JL; Chan S; Dube N; Fang L; Goszczynski B; Ha E; Halfnight E; Hollebakken R; Huang P; Hung K; Jensen V; Jones SJM; Kai H; Li D; Mah A; Marra M; McGhee J; Newbury R; Pouzyrev A; Riddle DL; Sonnhammer E; Tian H; Tu D; Tyson JR; Vatcher G; Warner A; Wong K Zhao Z; Moerman DG;,"Gene Expression Profiling of Cells, Tissues, and Developmental Stages of the Nematode C. elegans",Cold Spring Harbor Symposia On Quantitative Biology,Cold Spring Harb Symp Quant Biol. 2003;68:159-69.
2969,Book Chapter or Contribution to a Collective Work,2006,16909917,,Bowdish DME; Davidson DJ; Hancock REW,Immunomodulatory properties of defensins and cathelicidins,,Curr Top Microbiol Immunol. 2006;306:27-66.
2970,Book Chapter or Contribution to a Collective Work,2006,18050483,,Moerman DG; Williams BD,Sarcomere assembly in C. elegans muscle,Wormbook,WormBook. 2006 Jan; 16:1-16.  10.1895/wormbook.1.81.1.
2971,Book Chapter or Contribution to a Collective Work,2008,18373253,,Parker CE; Warren MR; Mocanu V; Greer SF; Borchers CH,Mass spectrometric determination of protein ubiquitination.,,Methods Mol Biol. 2008;446:109-30.  10.1007/978-1-60327-084-7_8.
2972,Book Chapter or Contribution to a Collective Work,2007,18428413,,Mathewson CA; Schein JE; Marra MA,Large-scale BAC clone restriction digest fingerprinting.,,Curr Protoc Hum Genet. 2007 Apr;Chapter 5:Unit 5.19.  10.1002/0471142905.hg0519s53.
2973,Book Chapter or Contribution to a Collective Work,2007,18429318,,Dean RA; Overall CM; Smith D,Proteomic identification of cellular protease substrates using isobaric tags for relative and absolute quantification (iTRAQ).,Current Protocols in Protein Science,Curr Protoc Protein Sci. 2007 Aug;Chapter 21:Unit 21.18.  10.1002/0471140864.ps2118s49.
2974,Book Chapter or Contribution to a Collective Work,2010,20373513,,Morrissy SA; Zhao YJ; Delaney A; Asano J; Dhalla N; Li I; McDonald H; Pandoh P; Prabhu A-L; Tam A; Hirst M; Marra MA,Digital gene expression by tag sequencing on the illumina genomeanalyzer.,Current Protocols in Human Genetics,Curr Protoc Hum Genet. 2010 Apr;Chapter 11:Unit 11.11.1-36.  10.1002/0471142905.hg1111s65.
2975,Book Chapter or Contribution to a Collective Work,,23765621,,"Shah B, Reid JR, Kuzyk MA, Parker CE, Borchers CH.",Developing an iMALDI Method.,,
2976,Book Chapter or Contribution to a Collective Work,2015,25807371,,"Bracht T, Schweinsberg V, Trippler M, Kohl M, Ahrens M, Padden J, Naboulsi W, Barkovits K, Megger DA, Eisenacher M, Borchers CH, Schlaak JF, Hoffmann AC, Weber F, Baba HA, Meyer HE, Sitek B.",Analysis of disease-associated protein expression using quantitative proteomics,Journal of Proteome Research,J Proteome Res. 2015 May 1;14(5):2278-86.  10.1021/acs.jproteome.5b00053
2977,Book Chapter or Contribution to a Collective Work,2016,26867735,,"Percy AJ, Yang J, Chambers AG, Borchers CH",Increased Depth and Breadth of Plasma Protein Quantitation via Two-Dimensional Liquid Chromatography/Multiple Reaction Monitoring-Mass Spectrometry with Labeled Peptide Standards.,Methods in Molecular Biology,Methods Mol Biol. 2016;1410():.  10.1007/978-1-4939-3524-6_1
2978,Book Chapter or Contribution to a Collective Work,2017,28320334,,"Portocarrero ME, Giguure AM, Lepine J, Garvelink MM, Robitaille H, Delanoe A, Levesque I, Wilson BJ, Rousseau F, Legare F",Use of a patient decision aid for prenatal screening for Down syndrome: what do pregnant women say?,BMC Pregnancy and Childbirth,BMC Pregnancy Childbirth. 2017 Mar 20;17(1):90.  10.1186/s12884-017-1273-0.
2979,Book Chapter or Contribution to a Collective Work,2016,,10.1002/0471250953.bi1401s18,"Wishart, D.S.",UNIT 14.1 Introduction to Cheminformatics.,Current Protocols in Bioinformatics,
2980,Book Chapter or Contribution to a Collective Work,2016,,10.1002/0471250953.bi1404s18.,"Wishart, D.S.,Wu, A.",UNIT 14.4 Using DrugBank for In Silico Drug Exploration and Discovery. Venue: CurrentProtocols in Bioinformatics,Current Protocols in Bioinformatics,
2981,Book Chapter or Contribution to a Collective Work,2007,,10.1002/9780470015902.a0001212.pub2,Brown KL; Mookherjee N; Hancock REW,"Antimicrobial, Host Defence Peptides and Proteins",,eLS. 2007 May;  10.1002/9780470015902.a0001212.pub2
2982,Book Chapter or Contribution to a Collective Work,2012,,10.1002/9780470015902.a0022213,"Stein L, Roy R, Dunfield PF",Aerobic Methanotrophy and Nitrification: Processes and Connections,,Online
2983,Book Chapter or Contribution to a Collective Work,2010,,10.1002/9780470571224.pse270,Lin D; Scherer A; Ng R; Balshaw R; Flynn S; Keown P; McMaster R; McManus B,Clinical Validation and Biomarker Translation,,Pharmaceutical Sciences Encyclopedia. 2010 Feb;1-24.
2984,Book Chapter or Contribution to a Collective Work,2008,,10.1002/9780470692325.ch8,Moien-Afshari F; Choy J; McManus BM; Laher I,Immunosuppression in Promotion of Cardiac Allograft Vasculopathy,,Immune Dysfunction and Immunotherapy in Heart Disease. 2008 Apr;57-79.
2985,Book Chapter or Contribution to a Collective Work,2014,,10.1002/9781118854396.ch15,Baute GJ; Dempewolf H; Rieseberg LH,"Using genomic approaches to unlock the potential of CWR for crop adaptation to climate change. In ""Crop Wild Relatives and Climate Change"".",,
2986,Book Chapter or Contribution to a Collective Work,2012,,10.1002/9781119959601.ch1,Madadi P; Koren G,Pharmacogenomics Principles: Introduction to Personalized Medicine.,,Pharmacogenomics in Clinical Therapeutics. 2012 Feb;1:1-14.
2987,Book Chapter or Contribution to a Collective Work,2008,,10.1002/9783527625130.ch15,Fejes AP; Jones SJM,ChIPSeq: Mapping of Protein-DNA Interactions.,,Next-Generation Genome Sequencing. 2008; CH15. ISBN 978-3-527-32090-5.
2988,Book Chapter or Contribution to a Collective Work,2010,,10.1002/cmdc.201000433,Walmsley H; Burgess M; Brinkman J; Hegele R; Wilson-McManus J; McManus B,"Ethics of Biomarkers: The Borders of Investigative Research, Informed Consent, and Patient Protection.",,Biomarkers in Drug Development. 2010.
2989,Book Chapter or Contribution to a Collective Work,2006,,10.1007/0-387-23266-4_13,Huber DPW; J Bohlmann,The role of terpene synthases in the direct and indirect defense of conifers against insect herbivory and fungal pathogens,,Multigenic and Induced Systemic Resistance in Plants. 2006;296-313.
2990,Book Chapter or Contribution to a Collective Work,2006,,10.1007/1-4020-3869-0_5,Ritl K; Ralph S; Lippert D; Rungis D; J Bohlmann,A new direction in conifer genomics.,,"Landscapes, Genomics and Transgenic Conifers. 2006;75-84."
2991,Book Chapter or Contribution to a Collective Work,2006,,10.1007/3-540-29916-5_2,Bowdish DME; Davidson DJ; Hancock REW,Immunomodulatory Properties of Defensins and Cathelicidins,,Antimicrobial Peptides and Human Disease. 2006;306:27-66.
2992,Book Chapter or Contribution to a Collective Work,2005,,10.1007/3-7643-7339-3_5,Astell CR; Holt RA; Jones SJM; Marra MA,Genome Organization and Structural Aspects of the SARS-related Virus.,,Coronaviruses with Special Emphasis on First Insights Concerning SARS. 2005; 101-28.
2993,Book Chapter or Contribution to a Collective Work,2008,,10.1007/978-1-4020-8182-8_8,Bohlmann J,Insect-induced terpenoid defenses in spruce.,,Induced Plant Resistance to Herbivory. 2008;173-87.
2994,Book Chapter or Contribution to a Collective Work,2010,,10.1007/978-1-4419-1541-2_10,Groover AT; Nieminen K; Helariutta Y; Mansfield S,Wood Formation in Populus.,,Genetics and Genomics of Populus. 2010;201-24.
2995,Book Chapter or Contribution to a Collective Work,2010,,10.1007/978-1-4419-1541-2_4,Douglas CJ; DiFazio SP,The Populus genome and comparative genomics,,Genetics and Genomics of Populus. 2010;8:67-90.
2996,Book Chapter or Contribution to a Collective Work,2009,,10.1007/978-1-60327-192-9_10.,"Vucic EA, Wilson IM, Campbell JM, Lam WL.","Methylation Analysis by DNA Immunoprecipitation (MeDIP) in ""Microarray Analysis of the Physical Genome.""",,"Totowa, NJ: Humana Press; 2009. p. 141"
2997,Book Chapter or Contribution to a Collective Work,2009,,10.1007/978-1-60327-192-9_2,"Coe BP, Lockwood WW, Chari R, Lam WL","Comparative Genomic Hybridization on BAC Arrays. in ""Microarray Analysis of the Physical Genome.""",,"Totowa, NJ: Humana Press; 2009. p. 7"
2998,Book Chapter or Contribution to a Collective Work,2015,,10.1007/978-3-319-16706-0_25,"McPherson A, Roth A, Chauve C, Sahinalp SC","Joint Inference Of Genome Structure And ContentIIn Heterogeneous Tumor Samples in Research in ""Computational Molecular Biology, 19th Annual International Conference""",,
2999,Book Chapter or Contribution to a Collective Work,2016,,10.1007/978-3-319-32240-7_13,"Burgess MM, Longstaff H, O'Doherty K.",Assessing Deliberative Design of Public Input on British Columbia Biobanks.,,Springer International Publishing; 2016. p. 263
3000,Book Chapter or Contribution to a Collective Work,2016,,10.1007/978-3-319-32933-8_15,"Matos S, Petrov O.",A Strategy to Incorporate Social Factors into Engineering Education.,,Springer International Publishing; 2016. p. 161
3001,Book Chapter or Contribution to a Collective Work,2008,,10.1007/978-3-540-68993-5_6,Parker CE; Smith D; Suckau D; Borchers CH,Mass Spectrometry-Based Tissue Imaging,,Advanced Imaging in Biology and Medicine. 2008;131-46.
3002,Book Chapter or Contribution to a Collective Work,2013,,10.1007/978-3-642-30144-5_89,Reid G,Probiotics.,,The Prokaryotes. 2013;43-56.
3003,Book Chapter or Contribution to a Collective Work,2012,,10.1007/978-3-642-30645-7_4,Kolosova N; Bohlmann J,Conifer defense against insects and fungal pathogens,,Growth and Defence in Plants. 2012;220:85-109.
3004,Book Chapter or Contribution to a Collective Work,2013,,10.1007/978-3-642-37048-9,Rieseberg L,"Foreword. Genomics and Breeding for Climate Resilient Crops. Springer Verlag, Berlin",,
3005,Book Chapter or Contribution to a Collective Work,2010,,10.1007/978-90-481-2804-4_20,Danielson P,A Collaborative Platform for Experiments in Ethics and Technology.,,Philosophy and Engineering. 2010;239-52.
3006,Book Chapter or Contribution to a Collective Work,2011,,10.1007/978-94-007-0828-0_28,Ohlund LB; Hardie DB; Elliott MH; Camenzind AG; Smith DS; Reid JD; Cohen Freue GV; Bergman AP; Sasaki M; Robertson L; Balshaw RF; Ng RT; Mui A; McManus BM; Keown PA; McMaster WR; Parker CE; Borchers CH,Standard Operating Procedures and Protocols for the Preparation and Analysis of Plasma Samples Using the iTRAQ Methodology,,Sample Preparation in Biological Mass Spectrometry. 2011;575-624.
3007,Book Chapter or Contribution to a Collective Work,2012,,10.1007/978-94-007-2576-8_4,Saddler JN; Mabee WE; Simms R; Taylor M,The Biorefining Story: Progress in the Commercialization of Biomass-to-Ethanol.,,Forests in Development: A Vital Balance. 2012;39-51.
3008,Book Chapter or Contribution to a Collective Work,2014,,10.1007/978-94-007-7076-8_12,Tobin PC; Parry D; Aukema BH,The Influence of Climate Change on Insect Invasions in Temperate Forest Ecosystems,,Challenges and Opportunities for the World's Forests in the 21st Century Forestry Sciences. 2014; 81:267-93.
3009,Book Chapter or Contribution to a Collective Work,2003,,10.1007/BF02448901,Burgess MM,Starting on the right foot: Public consultation to inform issue definition in genome policy,,
3010,Book Chapter or Contribution to a Collective Work,2009,,10.1007/s11948-015-9724-3,Danielson P,An E-Constitution for Experimental Ethics of Technology,,Electronic Constitution.
3011,Book Chapter or Contribution to a Collective Work,2010,,10.1016/B978-008045382-8.00112-X,Kindrachuk J; Nijnik A; Hancock REW,Host defense peptides: Bridging antimicrobial and immunomodulatory activities.,,Comprehensive Natural Products Chemistry. 2010;5:175-216.
3012,Book Chapter or Contribution to a Collective Work,2005,,10.1016/B978-0-12-385095-9.00015-4,Mookerhjee N; Brown KL; Hancock REW,Cathelicidins: cationic host defence and antimicrobial peptides.,,Handbook of Biologically Active Peptides. 2005;77-84.
3013,Book Chapter or Contribution to a Collective Work,2008,,10.1016/j.jasms.2009.11.003,Petrotchenko EV; Borchers CH,Cross-Linking as a Tool Examine Protein Complexes: Examples of Crosslinking Strategies and Computational Modeling,,Mass Spectrometry Analysis For Protein-Protein Interactions and Dynamics. 2008;157-68.
3014,Book Chapter or Contribution to a Collective Work,2005,,10.1016/S0079-9920(05)80003-6,Martin D; Bohlmann J,Molecular biochemistry and genomics of terpenoid defenses in conifers,Recent Advances in Phytochemistry,Recent Advances in Phytochemistry. 2005;39:29-56.
3015,Book Chapter or Contribution to a Collective Work,2006,,10.1016/S0079-9920(06)80038-9,Hamberger B; Ehlting J; Barbazuk B; Douglas CJ,"Comparative genomics of the shikimate pathway in Arabidopsis, Populus trichocarpa and Oryza sativa: Shikimate pathway gene family structure and identification of candidates for missing links in phenylalanine biosynthesis",Recent Advances in Phytochemistry,Recent Advances in Phytochemistry. 2006;40:85-113.
3016,Book Chapter or Contribution to a Collective Work,2011,,10.1021/bk-2011-1067.ch006,Nakagame S; Chandra RP; Saddler JN,The Influence of Lignin on the Enzymatic Hydrolysis of Pretreated Biomass Substrates.,,"Sustainable Production of Fuels, Chemicals, and Fibers from Forest Biomass. 2011 Jul;1067(6):145-67."
